Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/19,4112.00,0.00,83.20,68.60,-1.70,125.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/16,4883.00,0.00,99.50,79.10,-0.90,"216
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/21,6417.00,0.00,129.80,117.00,-1.10,223.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/13,3055.00,0.00,62.60,40.30,-2.50,30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/19,4008.00,0.00,66.20,51.40,-1.00,246.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/17,5957.00,0.00,122.80,102.90,-0.50,287.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/14,4501.00,0.00,95.90,73.00,-2.10,"228
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/18,4747.00,0.00,98.70,84.80,-1.50,4036.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/13,3263.00,0.00,59.80,45.40,-1.10,"189
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/19,4947.00,0.00,103.20,89.60,-2.70,78.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/14,3019.00,0.00,57.10,36.80,-0.40,"287
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/15,4850.00,44.00,99.50,89.50,-0.90,"169
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/22,5167.00,0.00,106.80,96.00,-1.80,117.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/15,3048.00,0.00,53.70,35.40,0.70,"307
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/22,3819.00,0.00,64.30,52.90,-1.50,196.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/20,3679.00,0.00,63.70,46.60,0.30,245.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20,3492.00,0.00,62.60,45.20,0.50,206.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/22,3717.00,0.00,66.70,60.30,-1.20,136.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/22,4520.00,0.00,76.10,63.90,-0.70,319.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/15,2748.00,0.00,51.30,35.20,-0.90,"276
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/15,3762.00,0.00,78.40,65.70,-1.50,"114
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/18,5272.00,0.00,105.50,88.00,0.40,443.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/14,4988.00,-3.00,107.40,76.40,-1.50,"218
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/20,2413.00,0.00,44.90,33.60,-0.60,84.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/17,4873.00,26.00,99.10,81.10,-0.50,"121
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/04/13,3511.00,221.00,73.10,46.00,-0.80,259.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/20,6086.00,0.00,112.50,99.70,1.10,501.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/22,6412.00,0.00,129.10,115.20,-1.00,218.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/04/15,3529.00,0.00,73.10,55.80,1.10,"231
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/17,5443.00,0.00,113.50,89.60,-0.50,173.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/21,6743.00,0.00,134.70,121.30,-1.00,219.00 ,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/16,5925.00,62.00,120.40,102.80,-0.40,"194
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/18,4565.00,0.00,95.40,74.50,-1.00,159.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/19,4312.00,0.00,89.40,73.90,-1.60,56.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/19,6058.00,0.00,121.60,101.00,0.80,280.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/21,3416.00,0.00,60.90,49.80,-1.40,175.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
