Date,Max.Demand met during the day (MW)
2015-03-08,1356.0
2015-03-09,-209.0
2015-03-10,-105.0
2015-03-11,-10.0
2015-03-12,-82.0
2015-03-13,-49.0
2015-03-14,137.0
2015-03-15,-278.0
2015-03-16,106.0
2015-03-17,175.0
2015-03-18,-69.0
2015-03-19,52.0
2015-03-20,-162.0
2015-03-21,137.0
2015-03-22,-339.0
2015-03-23,152.0
2015-03-24,410.0
2015-03-25,-196.0
2015-03-26,62.0
2015-03-27,-4.0
2015-03-28,-192.0
2015-03-29,-237.0
2015-03-30,-86.0
2015-03-31,707.0
2015-04-01,-259.0
2015-04-02,-11.0
2015-04-03,-87.0
2015-04-04,-20.0
2015-04-05,-237.0
2015-04-06,136.0
2015-04-07,489.0
2015-04-08,-380.0
2015-04-09,108.0
2015-04-10,-3.0
2015-04-11,3.0
2015-04-12,-135.0
2015-04-13,-313.0
2015-04-14,637.0
2015-04-15,-217.0
2015-04-16,81.0
2015-04-17,-74.0
2015-04-18,-44.0
2015-04-19,-70.0
2015-04-20,42.0
2015-04-21,414.0
2015-04-22,-296.0
2015-04-23,-88.0
2015-04-24,53.0
2015-04-25,158.0
2015-04-26,-684.0
2015-04-27,231.0
2015-04-28,660.0
2015-04-29,-316.0
2015-04-30,-71.0
2015-05-01,112.0
2015-05-02,-301.0
2015-05-03,20.0
2015-05-04,-107.0
2015-05-05,459.0
2015-05-06,120.0
2015-05-07,-208.0
2015-05-08,101.0
2015-05-09,-114.0
2015-05-10,-460.0
2015-05-11,412.0
2015-05-12,33.0
2015-05-13,80.0
2015-05-14,-373.0
2015-05-15,-354.0
2015-05-16,425.0
2015-05-17,117.0
2015-05-18,170.0
2015-05-19,321.0
2015-05-20,-565.0
2015-05-21,-116.0
2015-05-22,362.0
2015-05-23,-122.0
2015-05-24,-104.0
2015-05-25,90.0
2015-05-26,154.0
2015-05-27,-51.0
2015-05-28,-336.0
2015-05-29,284.0
2015-05-30,-52.0
2015-05-31,-195.0
2015-06-01,90.0
2015-06-02,-224.0
2015-06-03,142.0
2015-06-04,-358.0
2015-06-05,805.0
2015-06-06,-108.0
2015-06-07,-174.0
2015-06-08,254.0
2015-06-09,30.0
2015-06-10,-249.0
2015-06-11,289.0
2015-06-12,-434.0
2015-06-13,-44.0
2015-06-14,9.0
2015-06-15,-805.0
2015-06-16,859.0
2015-06-17,533.0
2015-06-18,-263.0
2015-06-19,59.0
2015-06-20,112.0
2015-06-21,-420.0
2015-06-22,-448.0
2015-06-23,488.0
2015-06-24,286.0
2015-06-25,-577.0
2015-06-26,-533.0
2015-06-27,1313.0
2015-06-28,-426.0
2015-06-29,361.0
2015-06-30,-438.0
2015-07-01,-169.0
2015-07-02,376.0
2015-07-03,2.0
2015-07-04,-1424.0
2015-07-05,2505.0
2015-07-06,-1142.0
2015-07-07,-288.0
2015-07-08,-391.0
2015-07-09,824.0
2015-07-10,-529.0
2015-07-11,45.0
2015-07-12,-600.0
2015-07-13,1129.0
2015-07-14,-318.0
2015-07-15,600.0
2015-07-16,-219.0
2015-07-17,-183.0
2015-07-18,-514.0
2015-07-19,160.0
2015-07-20,-175.0
2015-07-21,412.0
2015-07-22,259.0
2015-07-23,-240.0
2015-07-24,15.0
2015-07-25,-80.0
2015-07-26,-222.0
2015-07-27,9.0
2015-07-28,113.0
2015-07-29,-247.0
2015-07-30,247.0
2015-07-31,65.0
2015-08-01,-60.0
2015-08-02,406.0
2015-08-03,-654.0
2015-08-04,830.0
2015-08-05,-454.0
2015-08-06,-125.0
2015-08-07,-31.0
2015-08-08,139.0
2015-08-09,-568.0
2015-08-10,369.0
2015-08-11,520.0
2015-08-12,-329.0
2015-08-13,-43.0
2015-08-14,363.0
2015-08-15,-510.0
2015-08-16,-42.0
2015-08-17,-315.0
2015-08-18,1065.0
2015-08-19,-408.0
2015-08-20,-186.0
2015-08-21,-34.0
2015-08-22,212.0
2015-08-23,-521.0
2015-08-24,300.0
2015-08-25,569.0
2015-08-26,-301.0
2015-08-27,-125.0
2015-08-28,18.0
2015-08-29,-153.0
2015-08-30,-82.0
2015-08-31,41.0
2015-09-01,401.0
2015-09-02,-321.0
2015-09-03,-109.0
2015-09-04,106.0
2015-09-05,-123.0
2015-09-06,118.0
2015-09-07,12.0
2015-09-08,157.0
2015-09-09,-61.0
2015-09-10,-77.0
2015-09-11,-66.0
2015-09-12,163.0
2015-09-13,-187.0
2015-09-14,187.0
2015-09-15,108.0
2015-09-16,-43.0
2015-09-17,-309.0
2015-09-18,85.0
2015-09-19,38.0
2015-09-20,-204.0
2015-09-21,124.0
2015-09-22,207.0
2015-09-23,-169.0
2015-09-24,-246.0
2015-09-25,123.0
2015-09-26,-90.0
2015-09-27,407.0
2015-09-28,-88.0
2015-09-29,116.0
